,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],lift [N],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],alpha [rad],slope_angle_derivative [rad/s],name
67,591.6457304831329,121.91999999999949,876.3002310944167,88097.44255104425,82.3979972980306,81.91652518330707,0.2424704283728985,1,0.7408443951936957,0.050243123900708495,,58591.364374079814,190817.5756730787,1.0,False,1.2558278055670859e-05,0.0,1.5009086242473628,0.0,,sizing:main_route:initial_climb
68,591.8457304831329,121.91999999999949,892.7798305540229,88096.96328300961,82.69817902288007,82.21495287123084,0.24335376527186103,1,0.7354718518715906,0.04956805864193728,,58226.06863086002,190714.13488040233,1.0,False,1.2568616346379964e-05,0.0,1.503889138879024,0.0,,sizing:main_route:initial_climb
69,592.045730483133,121.91999999999949,909.3194663585989,88096.48388045098,82.99895685065587,82.51397317890239,0.244238856307291,1,0.7301470213123846,0.04890516647190607,,57866.0282165916,190610.60395706396,1.0,False,1.2578975166937608e-05,0.0,1.5068090109091061,0.0,,sizing:main_route:initial_climb
70,592.245730483133,121.91999999999949,925.91925772873,88096.00434324023,83.30031865283769,82.8135740486714,0.24512566578890932,1,0.7248696168370872,0.048254218938939344,,57511.18027778947,190506.98775694682,1.0,False,1.2589354099636251e-05,0.0,1.5096690079266049,0.0,,sizing:main_route:initial_climb
71,592.445730483133,121.91999999999949,942.5793214592976,88095.52467125477,83.60225245442301,83.11374357550827,0.24601415847818978,1,0.7196393459265032,0.04761500431512694,,57161.4780326586,190403.29106391346,1.0,False,1.2599752732055529e-05,0.0,1.5124697143069648,0.0,,sizing:main_route:initial_climb
72,592.6457304831331,121.91999999999949,959.2997719501822,88095.04486437741,83.9047463972844,83.41446997057558,0.24690429948053136,1,0.7144559111935888,0.04698730249297496,,56816.86096957603,190299.51860457571,1.0,False,1.2610170655800265e-05,0.0,1.5152118696403032,0.0,,sizing:main_route:initial_climb
73,592.8457304831331,121.91999999999949,976.080721229639,88094.56492249636,84.20778877121246,83.71574159208961,0.24779605433660762,1,0.7093190101638474,0.04637090628802067,,56477.2803536058,190195.6750378029,1.0,False,1.2620607467569592e-05,0.0,1.5178960790809237,0.0,,sizing:main_route:initial_climb
74,593.0457304831332,121.91999999999949,992.9222789838815,88094.08484550501,84.51136798702865,84.01754691859031,0.2486893889432464,1,0.7042283360450493,0.04576560377727698,,56142.6779735287,190091.76496412215,1.0,False,1.2631062768230963e-05,0.0,1.5205230547034645,0.0,,sizing:main_route:initial_climb
75,593.2457304831332,121.91999999999949,1009.8245525812872,88093.60463330202,84.81547259796935,84.31987457020034,0.24958426961635624,1,0.6991835776615801,0.04517119281166962,,55813.00378061262,189987.7929185649,1.0,False,1.2641536163556613e-05,0.0,1.523093415197023,0.0,,sizing:main_route:initial_climb
76,593.4457304831333,121.91999999999949,1026.787647100881,88093.12428579105,85.12009128100875,84.62271329005719,0.2504806630359657,1,0.6941844200553248,0.04458746890271238,,55488.20110962943,189883.76337724025,1.0,False,1.2652027263580326e-05,0.0,1.5256078537026991,0.0,,sizing:main_route:initial_climb
